InstanceType,vCPUs
m5zn.large,2
c5d.large,2
c6i.large,2
m6a.large,2
m6i.large,2
r3.large,2
m5d.large,2
r5.large,2
c4.large,2
m5ad.large,2
t3.large,2
c5n.large,2
r5a.large,2
t3.medium,2
t3a.small,2
c6id.large,2
r5b.large,2
r5d.large,2
t2.large,2
r5ad.large,2
t3a.medium,2
c7i.large,2
c7i-flex.large,2
m4.large,2
r7i.large,2
i4i.large,2
m7i.large,2
c5.large,2
c6in.large,2
t3.micro,2
t3a.large,2
t3.nano,2
i3.large,2
t3a.nano,2
m7i-flex.large,2
t3.small,2
r4.large,2
i3en.large,2
m5a.large,2
m2.xlarge,2
g6f.large,2
m3.large,2
m5.large,2
c5ad.large,2
m1.large,2
m6id.large,2
t3a.micro,2
r6i.large,2
c6a.large,2
r5n.large,2
c5a.large,2
